"sample.id"	"Country"
"M11060903"	"C"
"M11072004"	"C"
"M11071302"	"C"
"M11072317"	"C"
"M11071307"	"C"
"M11073011"	"C"
"M11080305"	"C"
"M11060201"	"C"
"M11071301"	"C"
"M11082409"	"C"
"M11081305"	"C"
"M11072320"	"C"
"M11072709"	"C"
"M11060203"	"C"
"M11073008"	"C"
"M11072002"	"C"
"M11081705"	"C"
"M11073006"	"C"
"M11073003"	"C"
"M11072003"	"C"
"M11060206"	"C"
"M11080302"	"C"
"M11081702"	"C"
"M11070603"	"C"
"M11070604"	"C"
"M11072306"	"C"
"M11081703"	"C"
"M11061608"	"C"
"M11072706"	"C"
"M11072011"	"C"
"M11082405"	"C"
"M11081316"	"C"
"M11062906"	"C"
"M11073001"	"C"
"M11082012"	"C"
"M11081704"	"C"
"M11073010"	"C"
"M11072703"	"C"
"M11082013"	"C"
"M11082407"	"C"
"M11082009"	"C"
"M11070605"	"C"
"M11071303"	"C"
"M11072705"	"C"
"M11082011"	"C"
"M11082008"	"C"
"M11073017"	"C"
"M11082402"	"C"
"M11081713"	"C"
"M11081711"	"C"
"M11082410"	"C"
"M11081312"	"C"
"M11082019"	"C"
"M11071310"	"C"
"M11073015"	"C"
"M11082016"	"C"
"M11072006"	"C"
"M11062901"	"C"
"M11072302"	"C"
"M11081712"	"C"
"M11081306"	"C"
"M11082003"	"C"
"M11070606"	"C"
"M11062911"	"C"
"M11061605"	"C"
"M11062204"	"C"
"M11081715"	"C"
"M11082001"	"C"
"M11071304"	"C"
"M11072312"	"C"
"M11052805"	"C"
"M11081706"	"C"
"M11072708"	"C"
"M11072710"	"C"
"M11062907"	"C"
"M11072008"	"C"
"M11082401"	"C"
"M11080306"	"C"
"M11081311"	"C"
"M11073009"	"C"
"M11081710"	"C"
"M11073014"	"C"
"M11073016"	"C"
"M11081303"	"C"
"M11072311"	"C"
"M11071309"	"C"
"M11082014"	"C"
"M11081304"	"C"
"M11072707"	"C"
"M11071305"	"C"
"M11072309"	"C"
"M11070607"	"C"
"M11071308"	"C"
"M11072702"	"C"
"M11072009"	"C"
"M11073012"	"C"
"M11082010"	"C"
"M11081714"	"C"
"M11062904"	"C"
"M11082006"	"C"
"M11082021"	"C"
"M11072316"	"C"
"M11082004"	"C"
"M11082018"	"C"
"M11070609"	"C"
"M11082403"	"C"
"M11062902"	"C"
"M11082404"	"C"
"M11082007"	"C"
"M11082406"	"C"
"M11061607"	"I"
"M11060105"	"I"
"M11061606"	"I"
"M11061506"	"I"
"M11062515"	"I"
"M11060914"	"I"
"M11072304"	"I"
"M11062522"	"I"
"M11062910"	"I"
"M11061503"	"I"
"M11072323"	"I"
"M11072318"	"I"
"M11072001"	"I"
"M11060113"	"I"
"M11060102"	"I"
"M11062517"	"I"
"M11060918"	"I"
"M11062909"	"I"
"M11060109"	"I"
"M11062509"	"I"
"M11060905"	"I"
"M11070608"	"I"
"M11072322"	"I"
"M11060907"	"I"
"M11060104"	"I"
"M11052501"	"I"
"M11060110"	"I"
"M11070610"	"I"
"M11052810"	"I"
"M11072010"	"I"
"M11071306"	"I"
"M11060917"	"I"
"M11060911"	"I"
"M11081709"	"I"
"M11060208"	"I"
"M11082015"	"I"
"M11072303"	"I"
"M11081315"	"I"
"M11061507"	"I"
"M11060901"	"I"
"M11060205"	"I"
"M11060108"	"I"
"M11081310"	"I"
"M11062510"	"I"
"M11062913"	"I"
"M11072007"	"I"
"M11052817"	"I"
"M11060923"	"I"
"M11052803"	"I"
"M11073002"	"I"
"M11081307"	"I"
"M11073004"	"I"
"M11081308"	"I"
"M11060204"	"I"
"M11061604"	"I"
"M11062214"	"I"
"M11061509"	"I"
"M11060107"	"I"
"M11062207"	"I"
"M11081314"	"I"
"M11061511"	"I"
"M11062507"	"I"
"M11062210"	"I"
"M11081301"	"I"
"M11062501"	"I"
"M11072313"	"I"
"M11062202"	"I"
"M11072307"	"I"
