Column name,Description,size per Serving
StationI_Measurement_Height-Result,Height (cm),NA
StationI_Measurement_Weight-Result,Weight (kg),NA
BMI,BMI (kg/m_),NA
StationI_Measurement_Waist-Result,Waist Circumference (cm),NA
StationI_Measurement_HipCir-Result,Hip Circumference (cm),NA
BloodPressure_SysDia-Systolic,Systolic Blood Pressure (mmHg),NA
BloodPressure_SysDia-Diastolic,Diastolic Blood Pressure (mmHg),NA
StationIII_Q1-R5,Monofilament 5.07 sensory test (Right),NA
StationIII_Q1-L5,Monofilament 5.07 sensory test (Left),NA
StationIII_Q2-ApexR,Neurothesiometer Reading (Mv)- Right Apex,NA
StationIII_Q2-ApexL,Neurothesiometer Reading (Mv)- Left Apex,NA
StationIII_Q2-MedR,Neurothesiometer Reading (Mv)- Right medial malleolus,NA
StationIII_Q2-MedL,Neurothesiometer Reading (Mv)- Left medial malleolus,NA
StationIII_Q3-BP,Systolic Brachial Blood pressure (mmHg)- by Doppler,NA
StationIII_Q4-R,Systolic Right Ankle Blood pressure (mmHg)- by Doppler,NA
StationIII_Q4-L,Systolic Left Ankle Blood pressure (mmHg)- by Doppler,NA
StationV_Bicep,Bicep circumference (mm),NA
StationV_Tricep,Tricep circumference (mm),NA
StationV_SubScapula,Subscapularis skinfold measurement (mm),NA
StationV_SupraIliac,Suprailiac skinfold measurement (mm),NA
StationV_ParaUmbilicus,ParaUmbilical skinfold measurement (mm),NA
StationV_Thigh,Thigh circumference (mm),NA
StationV_Calf,Calf circumference (mm),NA
CASPro-CASP,Central Aortic Systolic Pressure (CASP) using CASPro¨ (mmHg),NA
CASPro-Sys,Systolic CASP using CASPro¨ (mmHg),NA
CASPro-Dia,Diastolic CASP using CASPro¨ (mmHg),NA
CASPro-MAP,Mean arterial Pressure using CASPro¨ (mmHg),NA
CASPro-PR,Pulse rate using CASPro¨ (bpm),NA
CASPro-rAI,radial Augmentation Index using CASPro¨ (%),NA
CASPro-rAP,radial Augmentation Pressure using CASPro¨ (mmHg),NA
CASPro-PRT,Peak Relative Time using CASPro¨ (miliseconds) ,NA
GLU_1,Fasting Blood Glucose (mmol/L),NA
CRE_1,Serum Creatinine,NA
CHO_1,Total Cholesterol (mmol/L),NA
TG_1,Triglycerides (mmol/L),NA
HDL_1,HDL (mmol/L),NA
